타임스탬프,학년,성별,학과,취미,휴대폰 이용 시간대,휴대폰 이용 시간,휴대폰으로 주로 하는것,자기 전 1시간 휴대폰 이용,전자기기 제외 주로 뭐 하는지,학교 수업 외로 하루 공부 시간,주로 공부하는 시간,학과 선택 만족,전공 취업 선호도,소셜 미디어 사용 시간,집에서 학교까지 오는시간,학업 스트레스,교우관계,아르바이트,방과후 수업
2023. 10. 12 오후 1:51:20,1,남자,스마트웹콘텐츠과,게임,학교에서(9시~17시),1~3시간,"영상 시청(유튜브, OTT)",한다,공부,30분-1시간,방과후(저녁),O,10,30-1시간,10-30분,2,3,X,O
2023. 10. 12 오후 1:52:51,1,여자,스마트웹콘텐츠과,기타,밤에(20시~24시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",30분-1시간,방과후(저녁),O,5,2시간-3시간 이상,10-30분,3,2,X,X
2023. 10. 12 오후 1:53:45,1,남자,스마트웹콘텐츠과,게임,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,TV 보기,0-30분,방과후(저녁),O,6,0-30분,10-30분,4,1,X,O
2023. 10. 12 오후 1:53:49,1,남자,스마트웹콘텐츠과,게임,아침(6시~9시),3~5시간,"영상 시청(유튜브, OTT)",한다,기타,0-30분,방과후(저녁),O,10,2시간-3시간 이상,10-30분,1,2,X,O
2023. 10. 12 오후 1:54:13,1,남자,스마트웹콘텐츠과,운동,저녁에(17시~20시),5~7시간,"영상 시청(유튜브, OTT)",안한다,스포츠 활동,30분-1시간,기타,X,7,1시간-2시간,10-30분,2,4,O,X
2023. 10. 12 오후 1:55:01,1,남자,스마트웹콘텐츠과,운동,밤에(20시~24시),1~3시간,게임,한다,스포츠 활동,30분-1시간,방과후(저녁),O,5,1시간-2시간,10-30분,2,2,X,O
2023. 10. 12 오후 1:55:55,1,남자,스마트웹콘텐츠과,운동,학교에서(9시~17시),1~3시간,게임,한다,스포츠 활동,30분-1시간,밤,O,10,0-30분,10-30분,1,1,X,O
2023. 10. 12 오후 1:57:48,3,여자,금융경영과,기타,밤에(20시~24시),5~7시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,밤,O,7,1시간-2시간,30-1시간,2,1,O,X
2023. 10. 12 오후 2:05:00,2,남자,소프트웨어개발과,게임,저녁에(17시~20시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,밤,O,7,1시간-2시간,30-1시간,3,1,X,O
2023. 10. 12 오후 2:33:14,3,여자,금융경영과,기타,학교에서(9시~17시),5~7시간,SNS,한다,"문화생활(영화, 뮤지컬 등)",2시간-3시간 이상,방과후(저녁),O,10,2시간-3시간 이상,10-30분,3,3,X,X
